name,lat,lon
Cabazon,33.912726,-116.782831
Calabasas,34.134252,-118.666455
Calexico,32.684859,-115.494738
California City,35.14659,-117.869346
California Hot Springs,35.887568,-118.655022
California Pines,41.413786,-120.66531
California Polytechnic State University,35.306981,-120.667276
Calimesa,33.987357,-117.054214
Calipatria,33.168651,-115.485641
Calistoga,38.581408,-122.582696
Callender,35.047972,-120.575908
Calpella,39.233721,-123.19376
Calpine,39.663381,-120.439277
Calwa,36.713477,-119.76086
Camanche North Shore,38.244218,-120.953915
Camanche Village,38.266481,-120.986575
Camarillo,34.221823,-119.032154
Cambria,35.552069,-121.084137
Cambrian Park,37.256059,-121.928778
Cameron Park,38.674029,-120.988338
Camino,38.742265,-120.680811
Camino Tassajara,37.790886,-121.885052
Camp Nelson,36.141978,-118.61071
Camp Pendleton Mainside,33.307209,-117.331048
Camp Pendleton South,33.231824,-117.391998
Campbell,37.280244,-121.953296
Campo,32.640965,-116.474516
Campo Seco,38.220743,-120.859054
Camptonville,39.452072,-121.048668
Canby,41.452293,-120.888319
Cantua Creek,36.500045,-120.316361
Canyon Lake,33.688302,-117.263547
Canyondam,40.169867,-121.076986
Capitola,36.976083,-121.954012
Caribou,40.073244,-121.16567
Carlsbad,33.129284,-117.284183
Carmel Valley Village,36.500627,-121.73182
Carmel-by-the-Sea,36.552881,-121.921919
Carmet,38.374452,-123.071859
Carmichael,38.630812,-121.325636
Carnelian Bay,39.235165,-120.078207
Carpinteria,34.385234,-119.500759
Carrick,41.446746,-122.363457
Carson,33.840367,-118.249574
Carson City,39.1638,-119.7674
Cartago,36.305239,-118.027166
Caruthers,36.539907,-119.845027
Casa Conejo,34.184731,-118.944517
Casa Loma,35.34323,-118.998711
Casa de Oro-Mount Helix,32.763961,-116.968808
Casmalia,34.837799,-120.531044
Caspar,39.363063,-123.804194
Cassel,40.925021,-121.548476
Castaic,34.477444,-118.632681
Castella,41.177248,-122.287241
Castle Hill,37.874718,-122.058582
Castro Valley,37.708276,-122.062769
Castroville,36.76484,-121.753376
Cathedral City,33.835487,-116.463103
Catheys Valley,37.427706,-120.096038
Cayucos,35.439581,-120.889828
Cazadero,38.527831,-123.109799
Cedar Flat,39.206907,-120.094902
Cedar Ridge,38.065736,-120.273869
Cedar Slope,36.145464,-118.578881
Cedarville,41.528683,-120.174433
Centerville,36.736117,-119.496006
Centerville,40.542902,-122.464505
Ceres,37.598786,-120.968081
Cerritos,33.867745,-118.069471
Chalfant,37.492115,-118.390408
Challenge-Brownsville,39.464617,-121.26325
Channel Islands Beach,34.16896,-119.228542
Charleston View,35.964629,-115.897235
Charter Oak,34.102492,-117.856282
Cherokee,39.650877,-121.533646
Cherokee Strip,35.469567,-119.261525
Cherry Valley,33.979642,-116.969371
Cherryland,37.679216,-122.103777
Chester,40.301675,-121.232503
Chico,39.758951,-121.81772
Chilcoot-Vinton,39.806744,-120.138861
China Lake Acres,35.640019,-117.766458
Chinese Camp,37.870215,-120.444225
Chino,33.978037,-117.657719
Chino Hills,33.942969,-117.725648
Choctaw Valley,35.448555,-118.887191
Chowchilla,37.116104,-120.241978
Chualar,36.571113,-121.510295
Chula Vista,32.62767,-117.01517
Citrus,34.113438,-117.891301
Citrus Heights,38.69481,-121.287953
Claremont,34.124925,-117.713923
Clarksburg,38.419335,-121.541617
Clay,38.314038,-121.159591
Clayton,37.940322,-121.930075
Clear Creek,40.307086,-121.0554
Clearlake,38.960045,-122.633232
Clearlake Oaks,39.020605,-122.656939
Clearlake Riviera,38.951383,-122.722243
Cleone,39.490154,-123.775692
Clio,39.754217,-120.566728
Clipper Mills,39.532424,-121.166552
Cloverdale,38.794795,-123.014703
Clovis,36.827809,-119.681843
Clyde,38.02539,-122.028016
Coachella,33.69038,-116.143128
Coalinga,36.133014,-120.339005
Coarsegold,37.239184,-119.700972
Cobb,38.835329,-122.722435
Coffee Creek,41.079673,-122.716906
Cohasset,39.902152,-121.745368
Cold Springs,38.161335,-120.053527
Cold Springs,38.74644,-120.873807
Coleville,38.580561,-119.502863
Colfax,39.093799,-120.953222
College City,39.006085,-122.005134
Collierville,38.212831,-121.264972
Colma,37.676697,-122.452821
Coloma,38.802616,-120.894635
Colton,34.054525,-117.325029
Columbia,38.031227,-120.413398
Colusa,39.200023,-122.009481
Commerce,33.994523,-118.149952
Comptche,39.265134,-123.589715
Compton,33.894047,-118.227469
Concord,37.972184,-122.001587
Concow,39.770316,-121.513493
Contra Costa Centre,37.925963,-122.053977
Copperopolis,37.939092,-120.625141
Corcoran,36.084057,-119.561268
Corning,39.9282,-122.182009
Corona,33.861969,-117.565495
Coronado,32.657625,-117.156539
Coronita,33.875877,-117.610983
Corralitos,36.98423,-121.789432
Corte Madera,37.931846,-122.507738
Costa Mesa,33.665905,-117.912336
Cotati,38.328492,-122.710049
Coto de Caza,33.597037,-117.586484
Cottonwood,35.345588,-118.985856
Cottonwood,40.390291,-122.315631
Coulterville,37.712573,-120.196062
Country Club,37.968036,-121.340482
Courtland,38.332911,-121.557026
Covelo,39.800187,-123.252601
Covina,34.090475,-117.882143
Cowan,37.560105,-120.988787
Crescent City,41.764514,-124.200779
Crescent Mills,40.100741,-120.921706
Cressey,37.42103,-120.65569
Crest,32.80002,-116.867078
Crestline,34.254077,-117.286709
Creston,35.517097,-120.518136
Crockett,38.051919,-122.220127
Cromberg,39.868383,-120.690446
Crowley Lake,37.568742,-118.746421
Crows Landing,37.394443,-121.075166
Cudahy,33.964003,-118.182561
Culver City,34.00582,-118.396781
Cupertino,37.3194,-122.044957
Cutler,36.524664,-119.288829
Cutten,40.765684,-124.144461
Cuyama,34.931057,-119.61488
Cypress,33.818477,-118.038307
Dales,40.317989,-122.053844
Daly City,37.701684,-122.464968
Dana Point,33.475452,-117.693087
Danville,37.812142,-121.969824
Daphnedale Park,41.506864,-120.548069
Darwin,36.268803,-117.589004
Davenport,37.017779,-122.187885
Davis,38.556147,-121.737793
Day Valley,37.025439,-121.855931
Deer Park,38.535176,-122.470152
Del Aire,33.916738,-118.36929
Del Dios,33.075682,-117.119036
Del Mar,32.963945,-117.259804
Del Monte Forest,36.583834,-121.946714
Del Rey,36.656464,-119.598135
Del Rey Oaks,36.589699,-121.829527
Del Rio,37.745907,-121.009293
Delano,35.76643,-119.264221
Delft Colony,36.513809,-119.446522
Delhi,37.430599,-120.775899
Delleker,39.813251,-120.489671
Denair,37.525398,-120.797433
Derby Acres,35.244025,-119.603833
Descanso,32.869565,-116.627878
Desert Center,33.737799,-115.366622
Desert Edge,33.922289,-116.440092
Desert Hot Springs,33.957591,-116.542284
Desert Palms,33.779144,-116.298219
Desert Shores,33.403803,-116.039206
Desert View Highlands,34.590263,-118.153537
Di Giorgio,35.249118,-118.844154
Diablo,37.840774,-121.956477
Diablo Grande,37.399047,-121.263511
Diamond Bar,34.001573,-117.817601
Diamond Springs,38.692014,-120.838684
Dillon Beach,38.243488,-122.955955
Dinuba,36.545121,-119.398805
Discovery Bay,37.908131,-121.597196
Dixon,38.447512,-121.824223
Dixon Lane-MeadowCreek,37.386388,-118.415273
Dobbins,39.35659,-121.210378
Dogtown,38.208667,-121.154809
Dollar Point,39.189626,-120.109426
Dorrington,38.304479,-120.266321
Dorris,41.964965,-121.920387
Dos Palos,36.985424,-120.633845
Dos Palos Y,37.04684,-120.639473
Douglas City,40.644953,-122.927426
Douglas Flat,38.114619,-120.452862
Downey,33.938237,-118.130856
Downieville,39.578643,-120.816405
Doyle,40.027223,-120.11537
Drytown,38.441489,-120.860504
Duarte,34.160967,-117.950447
Dublin,37.716137,-121.896229
Ducor,35.892701,-119.04701
Dunnigan,38.892643,-121.974184
Dunsmuir,41.231526,-122.270939
Durham,39.629358,-121.79077
Dustin Acres,35.215929,-119.374987
Dutch Flat,39.208008,-120.834476
Eagleville,41.318993,-120.114607
Earlimart,35.891354,-119.272092
East Bakersfield,35.383185,-118.974368
East Foothills,37.382607,-121.813749
East Hemet,33.730114,-116.941001
East Los Angeles,34.031506,-118.168567
East Nicolaus,38.910044,-121.544319
East Niles,35.368273,-118.922462
East Oakdale,37.783867,-120.798631
East Orosi,36.548069,-119.259853
East Palo Alto,37.46778,-122.13255
East Pasadena,34.136798,-118.077535
East Porterville,36.058155,-118.974892
East Quincy,39.91643,-120.91894
East Rancho Dominguez,33.894841,-118.195586
East Richmond Heights,37.945084,-122.31391
East San Gabriel,34.116189,-118.079886
East Shore,40.245269,-121.076778
East Sonora,37.974241,-120.338035
East Tulare Villa,36.203763,-119.280335
East Whittier,33.924376,-117.988732
Eastern Goleta Valley,34.443913,-119.785477
Easton,36.652391,-119.790786
Eastvale,33.963274,-117.582369
Edgewood,41.460773,-122.425687
Edison,35.347313,-118.869826
Edmundson Acres,35.227296,-118.823252
Edna,35.210786,-120.605968
Edwards AFB,34.902408,-117.921869
El Adobe,35.245083,-118.958842
El Cajon,32.801673,-116.960468
El Centro,32.786351,-115.560206
El Centro Naval Air Facility,32.825232,-115.668072
El Cerrito,33.838186,-117.522205
El Cerrito,37.919574,-122.302519
El Dorado Hills,38.676082,-121.0477
El Granada,37.514166,-122.464803
El Macero,38.544019,-121.685168
El Monte,34.074633,-118.029136
El Monte Mobile Village,36.547075,-119.425049
El Nido,37.132376,-120.498551
El Paso de Robles (Paso Robles),35.628513,-120.650356
El Portal,37.673241,-119.787716
El Rancho,36.220684,-119.068357
El Rio,34.245364,-119.156763
El Segundo,33.910367,-118.425079
El Sobrante,33.872465,-117.462517
El Sobrante,37.973624,-122.303141
El Verano,38.297465,-122.491544
Eldridge,38.333887,-122.506518
Elfin Forest,33.081232,-117.177443
Elizabeth Lake,34.656488,-118.379847
Elk Creek,39.598678,-122.53232
Elk Grove,38.414621,-121.384961
Elkhorn,36.810673,-121.718699
Elmira,38.352329,-121.907719
Elverta,38.718464,-121.445475
Emerald Lake Hills,37.46566,-122.265351
Emeryville,37.838473,-122.301682
Empire,37.643057,-120.907038
Encinitas,33.050632,-117.263616
Escalon,37.791336,-120.999643
Escondido,33.133053,-117.074043
Esparto,38.69341,-122.024046
Etna,41.458199,-122.895819
Eucalyptus Hills,32.885177,-116.944983
Eureka,40.797594,-124.154191
Exeter,36.294137,-119.145953
Fair Oaks,38.650154,-121.25097
Fairbanks Ranch,32.991596,-117.186611
Fairfax,35.346885,-118.933806
Fairfax,37.988532,-122.595208
Fairfield,38.26206,-122.032386
Fairhaven,40.788293,-124.201421
Fairmead,37.077405,-120.193909
Fairview,37.677667,-122.044434
Fall River Mills,41.007241,-121.441134
Fallbrook,33.374235,-117.220375
Farmersville,36.304739,-119.208605
Farmington,37.929868,-121.004367
Fellows,35.177929,-119.547211
Felton,37.039222,-122.080764
Ferndale,40.578144,-124.261247
Fetters Hot Springs-Agua Caliente,38.327504,-122.487137
Fiddletown,38.506864,-120.760149
Fieldbrook,40.972958,-124.028586
Fields Landing,40.724236,-124.218603
Fillmore,34.398958,-118.91746
Firebaugh,36.853745,-120.453746
Fish Camp,37.4799,-119.640911
Florence-Graham,33.968159,-118.244667
Florin,38.48315,-121.404326
Floriston,39.39293,-120.015113
Flournoy,39.928339,-122.445793
Folsom,38.666597,-121.141635
Fontana,34.109686,-117.462888
Foothill Farms,38.686732,-121.347478
Forbestown,39.527584,-121.266222
Ford City,35.164735,-119.4584
Forest Meadows,38.171801,-120.397737
Forest Ranch,39.895204,-121.670451
Foresta,37.698779,-119.748274
Foresthill,39.005286,-120.831355
Forestville,38.482491,-122.889884
Fort Bidwell,41.863301,-120.159395
Fort Bragg,39.439803,-123.801757
Fort Dick,41.869526,-124.167206
Fort Hunter Liggett,35.992329,-121.23487
Fort Irwin,35.247701,-116.683411
Fort Jones,41.608452,-122.841066
Fort Washington,36.87934,-119.76122
Fortuna,40.587084,-124.142161
Foster City,37.56482,-122.250782
Fountain Valley,33.710582,-117.951129
Fowler,36.624186,-119.674748
Franklin,37.327529,-120.532089
Franklin,38.367521,-121.461629
Frazier Park,34.814193,-118.954961
Freedom,36.940254,-121.795246
Freeport,38.462935,-121.502107
Fremont,37.49446,-121.94115
French Camp,37.866024,-121.274154
French Gulch,40.718793,-122.629357
French Valley,33.599461,-117.106495
Fresno,36.782684,-119.793359
Friant,36.984012,-119.70806
Fruitdale,37.311711,-121.935765
Fruitridge Pocket,38.532613,-121.455807
Fuller Acres,35.302254,-118.914295
Fullerton,33.885716,-117.928025
Fulton,38.493709,-122.773417
Furnace Creek,36.427669,-116.87469
Galt,38.268458,-121.298952
Garberville,40.100306,-123.794315
Garden Acres,37.963697,-121.22961
Garden Farms,35.415782,-120.614034
Garden Grove,33.778782,-117.960472
Gardena,33.894417,-118.307522
Gardnerville,38.9412,-119.7499
Garey,34.885821,-120.31375
Garnet,33.917892,-116.479609
Gasquet,41.836075,-123.976031
Gazelle,41.51187,-122.521946
Georgetown,38.911353,-120.834624
Gerber,40.061417,-122.148201
Geyserville,38.717314,-122.903423
Gilroy,37.006407,-121.585321
Glen Ellen,38.355323,-122.543306
Glencoe,38.353042,-120.57329
Glendale,34.181393,-118.24583
Glendora,34.144964,-117.847804
Glennville,35.724194,-118.715217
Gold Mountain,39.761315,-120.519054
Gold River,38.626854,-121.249164
Golden Hills,35.136422,-118.497592
Goleta,34.435441,-119.858946
Gonzales,36.505979,-121.442918
Good Hope,33.770627,-117.277199
Goodmanville,35.428994,-118.943719
Goodyears Bar,39.552354,-120.893102
Goshen,36.349266,-119.420621
Graeagle,39.752477,-120.645449
Grand Terrace,34.031085,-117.3131
Grangeville,36.343898,-119.707467
Granite Bay,38.760441,-121.168196
Granite Hills,32.80328,-116.90561
Graniteville,39.444366,-120.73603
Grass Valley,39.220305,-121.052654
Graton,38.437517,-122.865988
Grayson,37.564577,-121.18005
Greeley Hill,37.757043,-120.130759
Green Acres,33.734972,-117.078244
Green Valley,34.617415,-118.405023
Green Valley,38.263842,-122.162496
Greenacres,35.383159,-119.118381
Greenfield,35.269489,-119.009491
Greenfield,36.323977,-121.243699
Greenhorn,39.902968,-120.758983
Greenview,41.544922,-122.920964
Greenville,40.133603,-120.945333
Grenada,41.6401,-122.526627
Gridley,39.362883,-121.697543
Grimes,39.074154,-121.898775
Grizzly Flats,38.635696,-120.535435
Groveland,37.831966,-120.241581
Grover Beach,35.120888,-120.619664
Guadalupe,34.964929,-120.573127
Guerneville,38.517165,-122.989897
Guinda,38.827374,-122.198359
Gustine,37.252549,-120.995513
Hacienda Heights,33.995853,-117.973023
Half Moon Bay,37.467319,-122.440485
Hamilton Branch,40.27725,-121.096092
Hamilton City,39.742678,-122.010946
Hanford,36.327719,-119.654609
Happy Camp,41.815893,-123.392796
Happy Valley,40.466141,-122.417969
Harbison Canyon,32.827274,-116.83807
Hardwick,36.402596,-119.72077
Harmony Grove,33.100717,-117.137992
Hartland,36.653867,-118.958812
Hartley,38.420393,-121.950842
Hasley Canyon,34.481599,-118.666689
Hat Creek,40.789806,-121.474515
Hathaway Pines,38.190063,-120.361495
Hawaiian Gardens,33.830482,-118.073451
Hawthorne,33.914775,-118.348083
Hayfork,40.575871,-123.123629
Hayward,37.626826,-122.104015
Healdsburg,38.622526,-122.865133
Heber,32.732494,-115.529398
Hemet,33.734068,-116.996808
Herald,38.288403,-121.231066
Hercules,38.021427,-122.288929
Herlong,40.141722,-120.139657
Hermosa Beach,33.869819,-118.405296
Hesperia,34.397038,-117.315198
Hickman,37.619316,-120.751219
Hidden Hills,34.163744,-118.66121
Hidden Meadows,33.223634,-117.119826
Hidden Valley Lake,38.801498,-122.551422
Highgrove,34.010577,-117.309817
Highland,34.113473,-117.165729
Highlands,37.520022,-122.3459
Hillcrest,35.37897,-118.957853
Hillsborough,37.557206,-122.358541
Hilmar-Irwin,37.404543,-120.850426
Hiouchi,41.793664,-124.066113
Hollister,36.855599,-121.398598
Holtville,32.813781,-115.378319
Home Garden,36.302832,-119.637073
Home Gardens,33.878328,-117.511535
Homeland,33.745881,-117.113241
Homestead Valley,34.273004,-116.414549
Homewood Canyon,35.89004,-117.386414
Honcut,39.332591,-121.538759
Hood,38.369291,-121.515488
Hoopa,41.079639,-123.69766
Hopland,38.96883,-123.116899
Hornbrook,41.904505,-122.558319
Hornitos,37.502525,-120.238859
Hughson,37.602135,-120.866004
Humboldt Hill,40.722316,-124.197381
Huntington Beach,33.698007,-118.003834
Huntington Park,33.979248,-118.217438
Huron,36.204381,-120.095119
Hyampom,40.626179,-123.46883
Hydesville,40.557875,-124.08225
Hypericum,36.256167,-119.216933
Idlewild,35.809588,-118.670463
Idyllwild-Pine Cove,33.744209,-116.73069
Igo,40.49774,-122.549621
Imperial,32.838801,-115.572012
Imperial Beach,32.56914,-117.114921
Independence,36.83031,-118.207855
Indian Falls,40.05875,-120.980314
Indian Wells,33.699892,-116.32955
Indianola,40.809964,-124.078447
Indio,33.731639,-116.235971
Indio Hills,33.84106,-116.248473
Industry,34.026232,-117.940327
Inglewood,33.956068,-118.344274
Interlaken,36.950603,-121.737519
Inverness,38.082796,-122.854943
Inyokern,35.654387,-117.819476
Ione,38.362862,-120.947685
Iron Horse,39.780481,-120.482291
Irvine,33.678399,-117.771254
Irwindale,34.111855,-117.963614
Isla Vista,34.412179,-119.860657
Isleton,38.161252,-121.604958
Ivanhoe,36.383439,-119.220088
Jackson,38.348489,-120.772822
Jacumba,32.636478,-116.190706
Jamestown,37.958212,-120.407062
Jamul,32.71841,-116.870862
Janesville,40.301105,-120.490318
Jenner,38.459034,-123.127467
Johannesburg,35.371876,-117.641803
Johnson Park,40.921179,-121.629531
Johnstonville,40.380198,-120.586134
Johnsville,39.76971,-120.699783
Jones Valley,40.701315,-122.242004
Joshua Tree,34.123633,-116.312862
Jovista,35.794014,-119.18957
Julian,33.073502,-116.588883
Junction City,40.736022,-123.084644
June Lake,37.761783,-119.114729
Jurupa Valley,34.002591,-117.467612
Keddie,40.005944,-120.952416
Keeler,36.486718,-117.87333
Keene,35.23178,-118.613067
Kelly Ridge,39.528803,-121.466259
Kelseyville,38.970184,-122.831384
Kennedy,37.929042,-121.245783
Kennedy Meadows,36.007639,-118.109947
Kensington,37.905144,-122.284226
Kentfield,37.935873,-122.558999
Kenwood,38.415408,-122.538753
Kep'el,41.284142,-123.819006
Kerman,36.724911,-120.06258
Kernville,35.755017,-118.430907
Keswick,40.612959,-122.460779
Kettleman City,36.008985,-119.962852
Keyes,37.557308,-120.911375
King City,36.216283,-121.131962
Kings Beach,39.247528,-120.019903
Kingsburg,36.525193,-119.566403
Kingvale,39.320997,-120.438309
Kirkwood,38.689265,-120.054979
Klamath,41.572859,-124.055606
Knights Ferry,37.821152,-120.669089
Knights Landing,38.797972,-121.717447
Knightsen,37.962426,-121.64858
La Cañada Flintridge,34.20969,-118.200139
La Crescenta-Montrose,34.233016,-118.235774
La Cresta,35.397201,-118.989312
La Grange,37.663456,-120.463147
La Habra,33.927927,-117.951554
La Habra Heights,33.958959,-117.948973
La Honda,37.317705,-122.25843
La Mesa,32.769495,-117.021923
La Mirada,33.902045,-118.008961
La Palma,33.850616,-118.039565
La Porte,39.672508,-120.985244
La Presa,32.712315,-117.00371
La Puente,34.032333,-117.95352
La Quinta,33.646083,-116.275297
La Riviera,38.568538,-121.354962
La Selva Beach,36.927375,-121.844404
La Verne,34.120521,-117.769928
La Vina,36.879865,-120.114802
Ladera,37.399875,-122.198971
Ladera Heights,33.996776,-118.370028
Ladera Ranch,33.549146,-117.641741
Lafayette,37.891004,-122.119529
Laguna Beach,33.54337,-117.761801
Laguna Hills,33.591216,-117.697621
Laguna Niguel,33.528654,-117.701253
Laguna Woods,33.612058,-117.730319
Lagunitas-Forest Knolls,38.018026,-122.691303
Lake Almanor Country Club,40.257771,-121.146958
Lake Almanor Peninsula,40.28121,-121.134454
Lake Almanor West,40.233573,-121.202075
Lake Arrowhead,34.254027,-117.178091
Lake California,40.358355,-122.208843
Lake City,41.645317,-120.222097
Lake Davis,39.852428,-120.45841
Lake Don Pedro,37.64142,-120.36436
Lake Elsinore,33.685956,-117.335404
Lake Forest,33.654946,-117.675848
Lake Hughes,34.682415,-118.451938
Lake Isabella,35.637098,-118.48261
Lake Los Angeles,34.609839,-117.830337
Lake Mathews,33.824966,-117.368343
Lake Nacimiento,35.730962,-120.869517
Lake Riverside,33.518735,-116.812103
Lake San Marcos,33.122362,-117.208576
Lake Shastina,41.523127,-122.376366
Lake Sherwood,34.131803,-118.884714
Lake Wildwood,39.23324,-121.19773
Lake of the Pines,39.038746,-121.061341
Lake of the Woods,34.827138,-118.997304
Lakehead,40.903436,-122.399658
Lakeland Village,33.648956,-117.366823
Lakeport,39.038333,-122.922633
Lakeside,32.856617,-116.904237
Lakeside,35.234667,-119.082858
Lakeview,33.828465,-117.123334
Lakewood,33.847135,-118.121894
Lamont,35.265142,-118.916042
Lanare,36.437723,-119.932199
Lancaster,34.693558,-118.175305
Larkfield-Wikiup,38.512972,-122.753601
Larkspur,37.940544,-122.530229
Las Flores,33.583836,-117.623741
Las Flores,40.072141,-122.157312
Las Lomas,36.868813,-121.731611
Las Vegas,36.1716,-115.1391
Lathrop,37.808666,-121.317765
Laton,36.43141,-119.697597
Lawndale,33.888435,-118.353143
Laytonville,39.662256,-123.495015
Le Grand,37.228815,-120.254002
Lebec,34.844614,-118.899237
Lee Vining,37.954899,-119.122014
Leggett,39.863539,-123.725176
Lemon Cove,36.38088,-119.02846
Lemon Grove,32.733071,-117.034413
Lemon Hill,38.517232,-121.457279
Lemoore,36.29528,-119.797268
